GarageArea,GrLivArea,OverallQual,TotalBsmtSF
774,1828,9,1822
308,894,5,894
432,964,5,876
857,1689,8,1568
843,1541,7,1541
400,1221,7,1221
440,1324,6,1088
484,1416,7,696
297,988,4,462
440,1218,6,735
397,1656,7,746
460,1362,6,1362
442,1839,6,756
451,1375,6,1367
528,1122,5,924
588,1432,5,1360
400,1456,7,728
497,1217,7,1188
625,1040,5,0
528,1224,6,612
468,1774,7,952
384,1367,5,861
297,1360,5,803
420,848,6,848
749,2262,8,1482
396,1220,4,836
398,1414,7,1375
396,2058,6,735
0,1198,6,901
499,1659,8,1501
308,1012,6,1012
672,3082,7,824
672,1812,5,360
650,1929,7,1057
576,954,5,911
765,1838,9,1838
924,1640,6,1296
672,1148,5,1148
280,950,5,950
471,1911,8,777
440,1635,6,1065
440,1316,7,1316
615,1442,6,1442
500,1078,5,1078
544,1120,4,1040
527,1419,8,408
240,1389,7,651
280,1063,5,1056
874,1792,9,1792
402,1216,6,1216
576,1762,7,596
434,1959,7,847
546,1208,6,1208
315,1524,5,874
240,1154,4,796
420,1048,5,0
273,886,5,190
600,943,5,943
603,1768,7,866
779,2599,9,1393
275,912,5,912
308,882,5,0
511,1337,6,1405
850,2076,10,2076
752,2531,8,1318
240,1768,5,731
538,1625,8,1573
389,2144,6,1444
880,2775,10,1237
477,1868,6,585
541,1525,7,1525
722,1571,8,1571
0,796,5,796
432,2372,5,994
402,1472,7,384
364,960,4,648
372,1838,5,732
484,1309,6,1040
694,2643,9,2153
200,1131,5,676
400,1960,5,960
336,1144,5,1144
576,1056,6,1056
0,693,4,693
576,1494,6,1479
482,1646,8,1594
352,864,5,864
750,1566,8,1566
497,1395,6,723
539,1208,4,780
180,1513,5,939
560,1367,6,884
386,955,5,955
210,1077,3,1007
572,1056,5,1056
615,1553,7,756
865,1614,7,1614
1390,2042,8,2042
326,1073,5,1073
240,1285,5,672
550,2117,6,1205
0,605,4,528
300,1150,5,1150
400,1456,6,728
588,999,7,944
564,1500,6,750
375,1336,5,1165
398,1593,6,839
836,2184,9,1104
573,1560,7,1560
312,1644,5,728
286,630,4,630
504,1113,6,1143
947,2172,7,1063
384,1346,4,560
550,2610,8,1184
936,1958,7,1026
898,1468,8,1468
539,1734,5,0
240,1200,5,768
438,1550,7,1092
440,2230,4,795
240,1639,6,1064
624,864,5,864
440,1621,7,1208
264,987,6,483
628,2519,7,1210
440,1365,5,765
779,2290,8,1128
840,2596,9,1249
352,907,4,907
440,1456,6,855
540,1190,5,1106
684,858,4,858
516,2223,7,2223
672,1005,4,1005
409,1895,7,712
384,1040,5,1040
461,1264,5,1268
578,1761,7,874
888,1034,6,1012
439,1363,7,1385
480,1689,6,1436
839,2113,8,2109
544,1573,7,1573
820,2364,9,2330
645,2034,7,1057
431,1291,6,1291
0,858,5,858
280,1258,6,560
246,438,2,290
440,1400,6,672
240,954,5,920
645,1445,6,1127
525,1072,6,547
0,1664,5,0
441,2134,6,844
380,3194,8,965
0,1824,6,912
422,1756,6,872
576,912,5,912
600,1509,6,1461
216,1608,6,976
397,1316,6,1316
450,1015,5,768
240,1134,5,756
865,1636,8,1623
400,1320,7,660
538,2126,5,1013
525,1128,5,1120
756,1306,5,992
0,1344,4,546
704,2554,7,718
576,893,5,845
668,1933,6,894
264,1218,6,672
534,1969,7,808
556,2090,8,1220
487,1484,5,1484
506,1656,5,1656
210,1224,6,818
390,2054,6,992
576,854,7,832
286,1092,4,546
252,1268,5,1268
550,1661,7,799
502,1668,8,1657
508,1493,6,1478
306,932,6,932
526,1277,7,1277
630,1530,7,1530
484,1344,5,1024
528,860,5,840
626,1314,7,1314
868,1962,7,1391
388,1490,7,788
420,848,6,848
240,672,5,672
252,2340,7,1152
180,1656,5,660
484,1479,7,725
740,1226,7,1226
444,2087,6,832
576,1158,6,1158
480,1154,5,1154
527,1724,7,880
431,1658,6,773
520,1126,4,0
300,1393,5,816
1014,3447,8,728
264,987,6,483
0,1355,5,644
505,2069,7,585
440,1501,7,744
908,1976,8,1976
758,1563,8,1563
288,1111,7,572
270,1502,7,776
452,1733,3,0
706,2728,9,1848
264,1302,5,630
586,1524,7,1332
680,1588,4,0
430,1125,5,1125
480,1200,7,600
520,1640,6,798
525,2127,7,1223
240,972,6,972
466,2020,8,1128
596,1144,5,1144
288,1352,5,1062
484,1316,5,926
592,1924,8,1086
240,1164,5,1164
840,952,5,952
0,2358,8,684
540,1680,6,880
672,1912,6,482
480,1004,6,1004
305,1230,4,747
495,1167,5,915
440,1301,5,1145
445,1453,7,1453
670,1601,8,1581
825,1588,8,1588
264,1095,6,588
368,1050,5,1050
432,960,4,960
280,1456,5,810
462,1489,6,1489
786,1726,7,1726
484,2082,7,1362
484,1339,7,1309
1069,2450,8,1284
660,1863,7,879
396,768,5,768
0,334,1,0
384,1136,6,1136
405,1337,6,1237
288,912,5,912
264,1812,5,864
240,2192,5,720
0,1184,5,658
308,1889,7,925
624,1327,5,1063
576,1422,6,1422
576,1632,5,1632
451,1630,7,1630
0,1526,3,1013
420,1040,4,0
216,1647,6,806
576,1981,4,1122
418,1644,6,1416
868,2574,8,1482
520,1824,6,764
520,1350,6,1248
440,958,6,958
370,1848,6,833
490,1620,4,1281
400,1167,6,1158
220,1487,6,735
288,892,5,892
240,804,5,788
0,1140,5,1140
483,1796,6,780
551,2030,6,848
812,2007,10,1017
216,691,5,691
676,1590,8,768
325,1855,6,994
442,1804,7,994
543,1768,7,884
807,3627,10,1930
403,1298,6,1298
484,1801,7,1501
0,630,5,630
440,1103,6,1103
384,1178,4,859
440,1196,4,1196
529,1372,7,1372
296,1431,6,1099
626,1422,7,1422
501,1953,6,1580
440,1121,4,1121
852,2473,8,1143
576,1057,5,1057
602,1110,5,1097
671,2270,8,1152
746,2018,9,2002
440,1386,6,672
1043,1953,8,1082
462,1337,8,1337
648,2285,8,969
826,1718,8,1705
484,1086,5,1024
660,1555,7,1373
567,1902,7,1902
693,2514,7,1216
528,1224,5,1086
460,1054,6,1054
676,2612,8,1225
288,902,5,876
484,2353,7,845
299,1392,6,689
576,1155,5,1109
240,1904,5,1208
208,1158,6,862
502,1362,6,611
429,2291,7,975
250,1317,4,649
928,1734,8,1734
312,1194,6,1194
720,1416,5,876
354,1383,5,1383
871,2002,5,1001
474,1496,8,1496
660,1604,5,984
504,764,5,680
476,1732,6,741
840,1494,7,1494
180,986,6,960
397,1145,7,1145
0,1484,6,742
525,1344,6,819
686,1539,5,650
656,2504,9,1122
528,747,4,600
583,2097,7,1108
884,4676,10,3138
624,1176,6,698
0,720,4,720
830,1580,8,1580
0,1440,4,1440
540,1476,6,738
570,1500,7,1500
216,1348,5,884
884,1200,5,864
514,1394,6,1394
484,1632,6,800
336,912,5,912
864,2624,6,1370
349,1696,5,1140
440,1230,5,440
440,2727,8,853
429,1456,6,728
660,864,4,864
380,1709,6,970
528,1665,8,810
656,2646,7,1347
595,1640,7,798
420,1699,3,978
529,1663,4,1364
504,1728,5,1728
462,1845,6,1055
440,1851,6,822
776,1489,8,1489
300,864,6,864
276,1256,5,1256
816,816,5,816
492,1820,7,864
833,2127,7,1104
461,1065,5,1065
312,1200,6,1200
632,1208,7,1187
642,2482,8,1094
527,1720,7,1720
0,840,5,672
496,1294,6,1278
450,1090,5,1090
420,2263,8,1141
440,969,5,969
1248,894,3,894
360,1028,5,1008
492,1958,6,979
895,1795,8,1795
606,1940,9,1930
439,1178,5,1176
400,1482,6,672
554,1428,7,1417
338,864,5,864
200,1111,5,616
420,1470,6,680
440,1116,6,1116
288,864,6,864
498,1297,5,1297
264,1113,5,1113
577,1501,7,1490
614,1547,7,756
678,1947,7,991
908,1717,8,1709
440,1052,6,1010
455,2013,7,1117
388,1266,7,1266
716,2868,9,1992
554,2256,7,952
494,1414,7,1414
471,1721,6,928
434,1552,6,713
528,1128,4,698
358,1118,6,1096
574,1728,6,1728
711,2448,8,1629
452,1473,5,1437
400,1717,7,1156
400,1166,7,856
484,1370,8,1370
480,1724,6,1680
380,1709,7,970
264,987,6,483
216,1802,7,793
360,2345,6,952
264,1068,6,1059
533,1617,6,1604
336,1244,6,1244
252,1180,4,700
480,1223,7,600
612,1686,6,1686
800,1646,8,1638
264,1144,5,864
639,1797,7,939
462,1224,4,0
839,1865,7,992
308,1056,5,1056
820,3140,9,1926
492,1212,6,506
636,1694,8,1686
413,1511,6,802
246,1057,5,1057
560,2290,4,777
786,2183,7,1204
594,3222,7,1673
512,1716,7,880
457,1342,6,1372
437,1504,7,1346
648,1992,8,1053
462,1252,7,600
264,999,5,999
528,1363,4,622
490,1165,6,1127
702,1668,9,1626
853,2376,8,1158
352,1440,5,540
388,1470,6,794
532,1541,7,1541
0,1440,4,1440
438,1146,7,868
481,1494,8,1494
738,2224,9,1462
186,1343,5,731
683,2452,8,1028
540,1977,6,816
504,1767,7,1064
550,1324,8,1324
330,1458,6,912
440,1314,6,1314
529,1575,6,1575
912,1620,9,1620
304,1788,4,1104
240,913,6,814
500,2073,6,1542
492,1441,8,776
225,1690,7,815
576,1437,5,1188
508,2156,7,1568
0,864,5,864
336,1112,5,536
746,2243,7,700
210,1328,4,686
216,968,4,656
384,1396,6,698
834,1856,9,1856
789,2161,8,1582
529,1602,6,1602
280,1302,5,630
393,1509,6,783
352,912,5,912
420,1664,6,1004
576,1694,6,1181
220,747,4,747
420,1040,4,0
493,1660,7,831
308,1691,5,1026
720,864,5,864
264,752,6,744
564,1792,7,963
474,1626,7,764
472,1484,8,1476
870,3493,7,1470
840,1652,9,1652
350,1276,5,1276
271,1668,6,856
0,1192,4,720
504,884,5,840
454,2062,7,1157
392,827,5,0
532,2019,7,728
336,1304,5,264
216,1368,6,684
379,1605,3,840
900,2020,10,2006
528,1250,7,625
757,1624,8,1624
360,845,4,845
418,1389,5,1389
480,968,5,968
286,1092,4,546
420,848,6,848
308,1269,5,1269
288,1092,5,1092
539,2263,7,795
283,952,4,952
0,1452,4,736
504,1039,5,1039
412,1204,6,1204
672,1117,6,1029
701,2196,7,2158
328,985,5,985
880,1629,8,3206
216,1477,7,861
484,980,5,980
590,2295,7,1095
180,1502,6,602
432,2201,6,697
836,2078,8,1034
0,800,2,264
840,1578,8,1573
774,1932,8,1932
404,1507,5,1075
280,900,5,882
786,1718,10,1700
240,1750,5,636
834,2398,7,1379
680,1968,8,774
532,1536,7,1536
200,864,3,864
546,3228,8,3200
670,2149,7,1434
864,2640,7,1240
530,1682,7,1304
878,2098,8,1030
360,864,5,864
530,1968,5,784
480,1097,6,1040
528,1196,6,684
451,1920,5,1052
576,1728,5,1728
577,2031,8,1128
297,1196,6,1196
360,803,5,720
462,1620,5,780
1134,2097,8,2077
617,1869,9,1869
431,1886,7,930
308,480,2,480
516,1296,4,0
288,816,4,816
478,1601,7,1271
451,1792,6,936
796,2520,8,1338
796,1144,5,1144
621,2601,5,612
312,1577,6,972
624,970,5,970
513,2036,7,2136
440,1026,6,1026
0,698,5,698
576,1533,7,1533
660,1382,5,720
530,1391,7,1391
240,1078,5,1078
471,1296,8,1267
301,1442,6,1442
0,1964,5,940
644,1502,7,1502
458,1392,6,1392
0,1768,4,1768
390,1582,5,1624
301,958,6,958
600,894,5,894
402,1224,6,1224
846,2332,10,1682
430,1269,8,1256
712,1776,8,1732
390,1456,6,728
539,1194,6,655
240,1008,5,1008
430,1555,7,1373
180,1784,5,747
280,1108,7,637
400,1394,5,384
496,1714,7,980
294,882,5,0
0,1306,3,728
288,1217,6,626
299,990,5,990
691,2452,8,1117
420,848,6,848
300,1369,6,672
676,1218,6,1218
672,2555,6,588
550,1247,8,1247
619,2872,6,1330
482,1652,8,1600
546,1844,6,1844
689,1971,7,1113
463,1800,6,982
574,1949,7,1050
0,630,4,630
530,1494,7,1494
0,968,3,600
508,1274,7,1274
364,1520,6,1156
528,1285,6,660
393,1509,7,783
550,1935,7,793
0,816,6,816
555,1200,7,1176
548,1470,4,941
528,1656,6,1080
240,792,5,768
818,1694,8,1694
765,1800,8,1800
560,2337,5,662
315,1846,6,1040
576,1026,6,940
408,904,5,876
484,1126,5,1126
872,2468,8,1136
540,988,6,938
288,1052,5,1052
0,1096,6,572
484,1141,6,1141
484,1790,6,732
660,1852,8,1004
0,754,6,520
513,1344,5,624
576,2207,7,1947
360,2358,6,907
831,2715,8,1142
484,1364,7,1364
402,1253,7,1237
528,1328,6,1328
286,1422,5,978
486,1986,7,768
192,952,6,952
500,1660,8,1660
1166,2234,9,2216
160,790,6,768
396,1340,7,1340
480,1610,6,1610
600,2620,5,1361
438,1248,7,1248
288,912,6,912
472,1638,6,943
1356,1622,4,1249
180,2320,6,1028
456,1144,5,1144
281,1520,5,793
472,1516,6,1516
675,1498,7,1498
560,1961,6,804
440,1456,7,728
349,2403,7,1032
708,1944,9,1896
474,1368,7,1368
588,1790,7,873
858,2713,9,1452
312,1271,5,720
604,1872,7,1845
577,2090,7,1190
546,1796,6,794
436,1302,7,1302
542,2524,8,2524
338,1374,4,840
474,1626,7,764
240,1034,5,735
588,1518,8,1518
240,1818,7,1040
598,1661,7,1649
432,1991,6,854
324,1482,7,650
564,1742,8,1742
280,1250,5,686
528,1176,6,816
506,1915,8,908
240,1595,6,940
377,1661,6,992
552,1935,8,832
534,1795,8,1777
434,1928,7,847
336,1159,5,1051
440,1456,6,855
431,1954,7,798
880,2028,8,1868
665,2898,8,1565
663,1674,7,814
0,974,5,974
586,1989,8,1065
678,2097,7,1080
500,1442,7,1424
720,1130,5,1120
240,1820,7,1026
583,2119,6,689
666,2576,8,1234
0,1020,5,780
779,1774,4,1095
0,904,1,683
490,1382,7,673
840,3608,10,1107
205,2210,6,1008
373,1572,6,806
739,1824,7,1643
304,1056,5,1056
392,1221,5,784
504,1362,6,1362
420,848,6,848
527,1434,7,1454
628,1208,7,1208
566,1466,5,796
691,1987,8,1986
983,2418,7,1311
626,1314,7,1314
380,1709,7,970
0,1218,6,672
0,3395,6,1440
0,1200,5,1200
297,912,5,912
832,4316,10,2444
548,1710,7,856
656,2374,8,1181
234,1564,7,704
528,1466,5,1466
292,1383,6,1383
410,1535,5,0
576,990,5,990
240,1646,7,918
440,1928,6,1020
550,1725,7,539
541,2872,8,1683
576,2112,6,952
240,1324,4,672
480,1200,7,600
468,1344,5,672
500,1668,7,840
400,1040,3,0
576,900,5,900
812,1559,5,1559
248,948,4,864
264,923,6,923
782,1552,7,1552
642,1717,7,756
440,1721,5,1461
264,987,6,483
521,1200,6,1200
281,1716,5,768
336,894,5,894
336,1771,5,0
528,1173,7,1053
576,1287,5,1063
459,1382,4,1051
721,2520,7,1203
297,1215,6,1215
844,2526,8,1165
480,1200,7,600
560,1728,5,1728
480,1710,7,576
870,2392,8,1396
457,1744,7,996
562,1665,7,813
792,2696,7,1264
528,864,4,864
234,672,4,672
564,1320,5,1164
440,958,6,1078
550,1710,7,1710
502,1265,5,1219
400,1456,8,1273
576,1539,5,927
766,1959,7,1907
0,1522,5,1008
0,1124,5,0
484,2090,7,1107
461,1214,5,1214
454,1779,5,1763
808,1629,8,1616
627,1554,8,1554
642,2236,7,964
0,796,4,796
308,1680,6,840
420,848,6,848
528,1142,5,1142
564,1252,6,1602
564,1684,9,1684
888,2000,8,2000
834,1616,7,1616
531,1872,8,1299
225,1576,5,1042
575,1982,7,807
276,988,5,876
620,1844,8,1844
528,1258,6,1258
500,1288,8,1260
866,1634,8,1626
440,1322,6,855
403,1414,8,707
478,1504,7,1504
690,1670,7,1670
518,2167,7,1192
440,1069,6,1069
525,1072,6,547
995,1572,5,1572
456,1869,5,1088
0,882,4,882
676,1922,9,1922
352,780,5,780
300,1601,5,533
430,1530,7,1530
0,833,5,833
308,1183,3,649
260,1040,5,1040
1052,2828,8,1466
288,1252,6,1032
305,1246,5,1246
180,904,6,884
416,1652,5,686
288,1268,5,832
342,1913,6,896
484,1358,7,1358
484,1657,6,1657
275,838,6,816
390,2060,7,992
474,1626,7,764
299,1352,6,663
240,1376,5,768
240,1660,6,715
432,1412,6,616
216,1469,6,756
400,1430,7,384
495,1094,6,1094
758,1826,8,1814
576,924,5,672
528,1502,8,1488
603,1688,6,616
572,1262,6,1262
788,1905,9,1905
541,2031,7,1153
478,1350,6,1064
613,1829,7,941
300,965,5,828
280,924,4,672
905,2263,8,1055
540,2108,6,1127
528,1242,7,1242
240,1573,4,884
434,2035,7,884
516,1232,6,1232
483,1964,7,803
0,1140,4,576
450,894,5,894
619,2654,6,1054
396,768,5,768
0,912,4,0
504,2080,5,1040
576,1040,5,1040
216,1616,6,1149
273,1047,4,641
484,1803,5,1134
528,832,6,832
384,894,5,894
189,1192,5,596
772,1850,9,1833
288,899,5,864
264,892,5,864
506,2291,6,1214
360,2138,5,849
470,1604,6,926
422,2021,7,868
308,938,5,938
216,1426,7,912
400,1920,5,928
260,1098,5,1098
0,729,3,270
528,1252,6,1252
792,1584,5,1584
592,1506,9,1498
506,1709,9,1698
299,1092,5,1092
758,1746,9,1746
667,2287,7,1304
200,789,5,768
270,1041,5,1041
431,1908,8,967
390,2267,6,1010
180,875,5,715
364,1526,5,1216
714,1567,6,1567
1020,2822,9,1734
360,1378,7,689
368,1738,4,715
521,2060,6,1151
286,1128,5,936
440,1720,7,840
338,1050,5,1050
576,1114,6,1114
750,1053,5,1008
682,1593,8,1593
318,1214,5,1214
264,816,5,816
400,1535,5,0
795,3112,8,1360
685,1919,8,1079
672,1097,5,1097
423,1750,6,983
288,987,6,483
576,981,6,981
447,1700,5,1398
308,816,5,816
622,1840,7,944
576,2521,6,942
902,1002,5,1002
294,841,4,721
564,996,6,936
856,1713,8,1713
576,1412,6,1392
923,1236,6,912
648,1040,4,1064
608,1616,8,1595
601,1414,6,1184
576,1950,7,975
490,1086,5,1086
528,1576,5,1324
624,768,5,768
676,1381,6,1161
647,2169,8,1284
287,720,3,0
520,2792,6,1510
576,936,4,936
588,1181,4,1138
954,1689,7,1689
280,948,4,948
440,1512,6,756
450,894,5,894
644,1852,7,900
290,845,4,0
0,774,3,544
666,3238,8,2033
632,1232,7,1232
528,1164,7,1164
160,1248,5,912
572,1687,5,747
440,1960,6,860
286,1092,4,546
400,894,4,894
558,1479,7,1453
270,1060,5,1060
484,1436,7,1436
504,1044,5,540
320,1768,7,880
432,816,6,816
400,1430,7,384
303,1867,5,1617
648,1500,7,1356
312,1100,4,1100
264,816,5,816
308,1328,5,1350
842,2296,10,1722
572,864,5,864
453,1266,7,1257
0,858,4,858
506,1710,6,832
264,1123,4,732
460,1647,6,953
288,874,5,864
522,1788,8,1753
416,1839,6,1477
484,1868,5,780
588,1712,5,1626
462,1229,6,561
890,1600,8,1566
460,1600,6,916
240,1344,5,896
540,1126,5,1126
264,923,5,876
205,616,5,616
0,1800,5,1800
505,1505,6,1505
621,1647,5,1430
451,1132,4,1132
470,1764,6,928
240,1529,4,0
336,2447,6,804
457,1504,7,1346
220,1163,3,1162
440,1525,6,756
288,935,5,935
270,813,6,813
230,2008,5,896
514,2329,7,1475
282,1558,5,910
528,1664,7,832
522,2110,7,2110
684,1786,6,824
336,1475,5,757
256,1387,5,811
380,1708,7,976
440,1734,6,912
520,2414,5,954
493,1908,7,915
506,1283,5,931
573,1212,7,1212
672,1548,7,952
384,980,5,980
470,1811,6,1073
384,1056,4,1056
484,1234,8,1234
440,1302,5,630
0,1406,6,319
576,858,5,858
736,2324,9,1175
414,910,5,105
442,1611,6,780
400,1560,6,684
630,2020,5,0
582,1338,8,1338
312,1188,5,1188
527,1459,7,1459
533,2260,7,1306
605,1430,7,1413
0,996,5,996
504,1092,6,1092
625,1250,7,625
572,1728,7,864
280,924,5,924
530,1199,6,1199
300,948,5,948
429,925,5,925
366,835,5,458
610,2466,8,1580
487,2157,7,924
572,1060,5,1040
804,2633,10,2633
280,1048,5,993
460,1664,6,953
360,784,6,784
473,1279,6,1196
284,1229,4,1134
244,1268,5,1268
480,1428,7,1428
352,1125,6,1041
275,1008,5,1008
860,1630,8,1622
673,1728,6,864
322,1211,5,952
286,1040,5,1040
511,1707,8,1686
462,1632,7,935
528,1392,5,1392
270,1319,5,608
390,1484,6,742
300,971,5,971
539,1062,6,1029
0,980,6,945
478,1405,7,1405
472,1671,6,959
495,1074,5,1056
672,2320,5,0
264,918,6,918
528,1437,5,1437
440,1069,6,1069
441,1556,6,727
510,1894,7,817
895,1973,8,1935
564,2978,7,710
420,848,6,848
400,1474,7,384
260,1056,5,1056
484,902,5,864
564,1032,6,1032
338,1077,5,961
480,1235,5,1235
719,1442,7,910
264,987,6,483
504,1004,6,975
0,1006,5,1006
0,1716,5,780
565,1720,7,860
308,960,4,960
660,1604,7,1604
621,2217,8,2217
540,1844,6,1844
380,1571,6,799
577,1479,7,1468
529,1786,5,1499
338,1632,6,1240
578,1768,8,866
299,1096,5,1096
542,2093,7,791
453,1348,6,660
410,1456,7,728
319,1600,5,1484
544,1700,6,1682
389,1593,6,808
288,1363,5,1008
440,1441,6,855
866,1710,8,1710
463,2110,7,948
475,1479,6,725
367,767,7,723
426,1496,7,654
648,1567,8,1520
308,1148,5,980
753,1970,8,1085
750,2810,8,1453
696,2630,8,1470
480,2274,5,1105
433,1261,6,1261
480,1486,5,1486
240,773,5,773
462,1537,6,1319
546,1779,7,866
0,1225,4,950
420,848,6,848
198,1376,6,780
440,1471,6,729
0,869,4,440
440,1458,6,729
440,894,5,864
427,1718,7,832
611,1701,5,1390
576,864,4,864
512,1855,6,528
616,1651,6,1606
528,1224,6,612
288,928,5,928
0,1092,4,0
546,1641,7,728
776,1416,6,708
736,1904,8,1058
308,936,5,936
452,1556,6,716
400,864,4,864
900,1654,7,1654
576,1416,5,816
856,2365,8,1252
436,1067,4,1067
539,1902,6,0
420,1557,7,1374
486,1839,7,1195
